"Site","Date","sample_id","FlowRate","cov2_conc","BCoV","capacity_mgd","conductivity","do","equiv_sewage_amt","n1_lod","n1_loq","N1","N1Error","n1_sars_cov2_lod","n2_lod","n2_loq","N2","N2Error","n2_sars_cov2_lod","ph","PMMoV","Pop","temperature","tss","wwtp_comments","zipcode","analytical_comments","AVG","wt"
"Merrill",2021-01-28,545673001,1.136,294812,3.14,3.06,770,NA,1,40000,130000,323934,45130,NA,66000,140000,265690,33887,"No",7.47,7835994,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,293370.115144675,2
"Plymouth",2021-01-28,545682001,1.51,161338,1.042,1.8,1597,NA,1,40000,130000,185424,6557,NA,66000,140000,137252,7020,"No",8.1,8212514,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,159529.98103178,2
"Platteville",2021-01-28,545691001,1.007,249943,3.027,3,1728,4.92,1,40000,130000,306076,44013,NA,66000,140000,193811,28428,"No",7.83,10240894,14000,12.91,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,243558.813505075,2
"Kenosha",2021-01-28,545699001,18.83,375064,7.738,28,1299,NA,1,40000,130000,419009,58912,NA,66000,140000,331120,31241,"No",7.7,15508192,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,372481.221110541,2
"Spring UW-Sellery",2021-01-29,545359001,NA,123544,1.069,NA,928,NA,0.625,64000,2e+05,150610,16794,NA,1e+05,220000,96478,51418,"Yes",7.75,151815546,NA,NA,NA,NA,NA,NA,120542.737566392,2
"Spring UW-LakeShore",2021-01-29,545361001,NA,77432,0.115,NA,1755,NA,0.625,64000,2e+05,115340,9491,NA,1e+05,220000,39524,13482,"Yes",6.75,76108164,NA,NA,1550,NA,NA,NA,67518.1320831671,2
"Sheboygan",2021-01-29,545618001,8.736,163576,5.435,18.4,1070,NA,1,40000,130000,159966,18033,NA,66000,140000,167187,14843,"No",7.2,23998703,75000,13.89,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53081",NA,163536.649231908,2
"Sun Prairie",2021-01-29,545622001,3.448,154849,3.303,6.2,1435,NA,1,40000,130000,175670,22954,NA,66000,140000,134028,17192,"No",7.4,13568491,34926,11.37,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,153442.819186823,2
"River Falls",2021-01-29,545632001,1.353,414779,2.385,1.8,935,4.08,1,40000,130000,473098,25607,NA,66000,140000,356461,33869,"No",7.57,12477678,16000,6.7,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,410659.209294033,2
"Wausau",2021-01-29,545636001,3.89,22654,0.305,8.2,1333,NA,1,40000,130000,28716,6944,NA,66000,140000,16591,4071,"Yes",7,14713499,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,21827.2113656326,2
"Appleton",2021-01-29,545639001,8.4,181794,2.211,15.5,1061,NA,1,40000,130000,197692,36611,NA,66000,140000,165897,7129,"No",7.5,52018445,74832,13.4,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54914",NA,181098.066593766,2
"WI Rapids",2021-01-29,545641001,2.475,189926,2.778,5.27,1141,NA,1,40000,130000,196243,18963,NA,66000,140000,183610,14926,"No",7,12123958,20000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54494",NA,189821.435117323,2
"Eau Claire",2021-01-29,545642001,7.68,187633,3.889,12,1100,5.02,1,40000,130000,222458,10399,NA,66000,140000,152808,16409,"No",7.39,47328566,75000,13.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54703",NA,184372.888636046,2
"Hudson",2021-01-29,545664001,1.417,281861,7.288,2.2,1090,9.24,1,40000,130000,303227,28377,NA,66000,140000,260495,34774,"No",7.21,7416932,19680,6.9,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,281050.026445471,2
"Merrill",2021-01-29,545670001,1.003,135505,2.271,3.06,809,NA,1,40000,130000,151563,8609,NA,66000,140000,119447,10363,"No",7.45,8822379,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,134550.160390094,2
"Plymouth",2021-01-29,545679001,1.48,410702,0.221,1.8,1447,NA,1,40000,130000,523731,74913,NA,66000,140000,297673,45372,"No",8.2,6227516,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,394842.472339286,2
"Platteville",2021-01-29,545688001,0.909,576707,4.427,3,1444,4.8,1,40000,130000,624754,35515,NA,66000,140000,528660,32165,"No",7.83,8144827,14000,12.43,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,574702.052928298,2
"Kenosha",2021-01-29,545697001,19.08,308801,6.357,28,1270,NA,1,40000,130000,345362,18381,NA,66000,140000,272241,20658,"No",7.7,14007671,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,306629.574963016,2
"Sun Prairie",2021-01-30,545626001,3.369,104691,1.649,6.2,1475,NA,1,40000,130000,123007,11968,NA,66000,140000,86374,9532,"No",7.4,14555553,34926,12.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,103075.732439794,2
"River Falls",2021-01-30,545633001,1.32,392496,4.769,1.8,978,4.69,1,40000,130000,447810,19271,NA,66000,140000,337183,15899,"No",6.93,15082835,16000,13,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,388579.360272776,2
"Wausau",2021-01-30,545637001,3.87,226763,2.063,8.2,1304,NA,1,40000,130000,273461,26979,NA,66000,140000,180066,16245,"No",7,19212701,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,221903.196069818,2
"Stevens Point",2021-01-30,545640001,1.89,4377,0.6599,4.55,858,NA,1,40000,130000,8753,-1,NA,66000,140000,NA,-1,"Yes",7.24,23351875,27000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54481",NA,8753,1
"Hudson",2021-01-30,545663001,1.495,162495,2.906,2.2,1130,4.64,1,40000,130000,167247,48379,NA,66000,140000,157743,46124,"No",7.62,8123378,19680,8.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,162425.501449126,2
"Merrill",2021-01-30,545669001,1.118,189326,1.659,3.06,912,NA,1,40000,130000,204843,8870,NA,66000,140000,173809,11636,"No",7.38,12810415,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,188689.048402391,2
"Janesville",2021-01-30,545675001,11.26,220345,5.473,16.1,1449,NA,1,40000,130000,223740,27703,NA,66000,140000,216950,15874,"No",7.36,13595424,63500,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53548",NA,220318.843951215,2
"Plymouth",2021-01-30,545677001,1.52,355632,1.099,1.8,1332,NA,1,40000,130000,431435,50954,NA,66000,140000,279830,38843,"No",8.2,8718779,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,347460.006403615,2
"Platteville",2021-01-30,545684001,0.711,14903,6.398,3,1385,5.44,1,40000,130000,23090,3691,NA,66000,140000,6716,2136,"Yes",7.87,3067609,14000,11.63,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,12452.8085185632,2
"Menomonie",2021-01-30,545692001,1.331,166670,1.611,2.88,1312,NA,1,40000,130000,191359,29811,NA,66000,140000,141980,5034,"No",7.1,30226696,16000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54751",NA,164830.673177052,2
"Kenosha",2021-01-30,545696001,18.59,289908,4.986,28,1260,NA,1,40000,130000,336482,31351,NA,66000,140000,243333,22463,"No",7.7,25369915,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,286141.878280688,2
"Madison",2021-01-31,545818001,36.3,244777,3.75643,56,1388,NA,1,40000,130000,256082,16022,NA,66000,140000,233472,14014,"No",7.66,26460001,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,244515.80052013,2
"Peshtigo",2021-02-01,545630001,0.456,137568,6.489,4.2,735,3.2,1,40000,130000,147448,14294,NA,66000,140000,127688,8243,"No",7.6,5910611,4000,12,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54157",NA,137212.755325443,2
"Washburn",2021-02-01,545638001,0.143,39074,5.383,0.36,1080,NA,1,40000,130000,47670,14849,NA,66000,140000,30479,1388,"Yes",7.7,7865427,2200,10.9,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54891",NA,38117.3704497044,2
"Madison",2021-02-01,545819001,36.28,129145,1.862,56,1435,NA,1,40000,130000,149707,22588,NA,66000,140000,108584,11836,"Yes",7.06,27005372,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,127498.176018326,2
"MMSD-P2",2021-02-01,545821001,5.88,139286,6.63,56,1422,NA,1,40000,130000,166056,12489,NA,66000,140000,112517,14601,"No",7.5,37150017,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,136689.878747477,2
"MMSD-P7",2021-02-01,545822001,4.17,58329,2.89,56,1522,NA,1,40000,130000,88931,11549,NA,66000,140000,27727,5650,"Yes",7.5,25068173,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,49656.7199581285,2
"MMSD-P8",2021-02-01,545823001,6.01,182841,5.16,56,1476,NA,1,40000,130000,201531,35680,NA,66000,140000,164152,20633,"No",7.5,43306978,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,181883.800026281,2
"MMSD-P11",2021-02-01,545824001,8.5,202173,3.65,56,1398,NA,1,40000,130000,216130,7245,NA,66000,140000,188216,8181,"No",7.5,45774118,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,201690.664335264,2
"MMSD-P18",2021-02-01,545825001,11.72,370645,3.32,56,1424,NA,1,40000,130000,399598,62345,NA,66000,140000,341691,2956,"No",7.5,20325325,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,369511.894555507,2
"Hudson",2021-02-01,546325001,1.419,127628,3.135,2.2,1182,4.36,1,40000,130000,143371,23591,NA,66000,140000,111885,17201,"No",7.8,7851608,19680,9,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,126653.323426588,2
"Wausau",2021-02-01,546328001,3.54,57097,0.79,8.2,1032,NA,1,40000,130000,86820,10886,NA,66000,140000,27374,2393,"Yes",7,24163475,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,48750.4941513417,2
"Plymouth",2021-02-01,546335001,1.48,227819,0.573,1.8,1264,NA,1,40000,130000,310872,22372,NA,66000,140000,144766,7914,"No",8.1,6297553,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,212140.745619506,2
"River Falls",2021-02-01,546336001,1.287,129387,2.254,1.8,947,4.66,1,40000,130000,144096,13104,NA,66000,140000,114678,10561,"No",7.43,16553376,16000,8.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,128548.205308359,2
"Platteville",2021-02-01,546337001,1.023,158219,4.709,3,1531,5.96,1,40000,130000,168714,18412,NA,66000,140000,147725,12572,"No",7.79,11624933,14000,13.67,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,157871.072872772,2
"Merrill",2021-02-01,546342001,0.934,132815,3.69,3.06,896,NA,1,40000,130000,141156,10609,NA,66000,140000,124474,15375,"No",7.48,13656189,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,132552.826993618,2
"Kenosha",2021-02-01,546353001,17.48,236580,4.819,28,1200,NA,1,40000,130000,241986,25647,NA,66000,140000,231175,31464,"No",7.6,15233938,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,236518.738264012,2
"Sun Prairie",2021-02-01,546372001,3.434,41748,1.84,6.2,1416,NA,1,40000,130000,63059,9070,NA,66000,140000,20437,4195,"Yes",7.3,21776848,34926,13,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,35898.9802501408,2
"Spring UW-LakeShore",2021-02-02,545702001,NA,377495,4.4,NA,1505,NA,0.625,64000,2e+05,399425,27210,NA,1e+05,220000,355565,13988,"No",7,46450783,NA,NA,313,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.",NA,NA,376857.466590487,2
"Spring UW-Sellery",2021-02-02,545703001,NA,35478,2.83,NA,995,NA,0.625,64000,2e+05,50955,10842,NA,1e+05,220000,20001,12395,"Yes",8,5579969,NA,NA,500,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.",NA,NA,31924.1437629892,2
"Madison",2021-02-02,545820001,37.18,136752,2.335,56,1590,NA,1,40000,130000,145702,14837,NA,66000,140000,127801,11359,"No",7.76,27110106,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,136458.276780853,2
"Whitewater",2021-02-02,545982001,1.176,100759,0.177,3.65,1680,NA,1,40000,130000,145488,2247,NA,66000,140000,56029,21496,"Yes",8.09,29025928,14000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53190",NA,90285.918902119,2
"Ashland",2021-02-02,545983001,0.645,131197,6.24,1.92,782,NA,1,40000,130000,128459,19946,NA,66000,140000,133936,21883,"No",7.38,14289091,8000,10,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54806",NA,131168.916378843,2
"Menomonie",2021-02-02,545984001,1.397,58246,1.09,2.88,1209,NA,1,40000,130000,52508,8735,NA,66000,140000,63984,17101,"Yes",8.6,5736699,16000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54751",NA,57962.6765427546,2
"Monroe",2021-02-02,545985001,1.697,211142,0.34,3.7,1627,NA,1,40000,130000,284257,14251,NA,66000,140000,138027,16740,"No",8.55,11883054,10800,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53566",NA,198078.623124758,2
"Mondovi",2021-02-02,545995001,0.198,108858,0.0032,0.3,955,NA,0.625,64000,2e+05,112324,27153,NA,1e+05,220000,105393,17308,"No",7.7,3984734,2800,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54755",NA,108803.32408525,2
"Oconomowoc",2021-02-02,545996001,2.493,109819,0.04,4.02,1775,4.62,1,40000,130000,125963,14510,NA,66000,140000,93674,19215,"No",7.7,20559461,34135,15,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53066",NA,108625.310411524,2
"WI Rapids",2021-02-02,545997001,2.447,321957,4.366,5.27,945,NA,1,40000,130000,371871,4912,NA,66000,140000,272042,18483,"No",6.7,36066353,20000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54494",NA,318063.720945976,2
"Rhinelander",2021-02-02,545998001,0.842,240605,1.17,2.21,1141,NA,1,40000,130000,287978,3651,NA,66000,140000,193232,25377,"No",7.31,22402678,7800,3.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54501",NA,235895.24135938,2
"Marshfield",2021-02-02,546001001,1.986,109465,0.32,4.63,1424,6.1,1,40000,130000,145925,11705,NA,66000,140000,73005,13575,"No",6.9,23696996,19316,13.1,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.  Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54449",NA,103214.604707861,2
